계좌,종목명,보유수량,매입가(USD),어제종가(USD),평가금액(USD),수익(USD),수익률(%)
4715,브로드컴,1,400.31,365.0199890136719,365.0199890136719,-35.29001098632813,-8.815670601865586
4715,블룸 에너지,1,134.3,252.02000427246094,252.02000427246094,117.72000427246093,87.65450802119204
4715,아이온큐,90,36.0636,49.310001373291016,4437.900123596191,1192.1761235961912,36.73066852252968
4715,프리미엄 고배당 JP모건 ETF,14,54.9878,56.15999984741211,786.2399978637695,16.41079786376953,2.131745309708898
4715,엔비디아,59,214.6191,192.52999877929688,11359.269927978516,-1303.2569720214847,-10.292234577772028
4715,미국 배당주 슈왑 ETF,30,24.0333,32.09000015258789,962.7000045776367,241.7010045776367,33.52307070850815
4715,미국 반도체 3배 디렉시온 ETF,81,185.7585,215.60000610351562,17463.600494384766,2417.161994384766,16.064678657243476
4715,스페이스X,95,152.3508,153.22999572753906,14556.849594116211,83.52359411621165,0.5770863871663753
5477,메타 플랫폼스(페이스북),5,667.32,550.25,2751.25,-585.3500000000003,-17.543307558592584
5477,마이크론 테크놀로지,13,1011.0,1132.3299560546875,14720.289428710938,1577.2894287109375,12.000984772966122
5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,4.239999771118164,76.31999588012695,-25.020004119873043,-24.689169251897617
9999,알파벳 A,59,335.3411,337.3900146484375,19906.010864257812,120.8859642578135,0.6109941932073095
9999,마이크론 테크놀로지,10,1010.0,1132.3299560546875,11323.299560546875,1223.299560546875,12.111876837097773
9999,나스닥 100 인베스코 ETF,3,253.15,290.95001220703125,872.8500366210938,113.40003662109373,14.931863403923067
9999,스페이스X,13,151.51,153.22999572753906,1991.9899444580078,22.35994445800793,1.1352357781922457
9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,71.83000183105469,1436.6000366210938,999.7000366210938,228.8166712339423
6589,AST 스페이스모바일,4,120.1725,71.44999694824219,285.79998779296875,-194.89001220703125,-40.543804157987736
6589,알파벳 A,5,310.18,337.3900146484375,1686.9500732421875,136.05007324218747,8.772330468901119
6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,4.239999771118164,271.3599853515625,-88.9600146484375,-24.689169251897617
4597,스페이스X,5,151.15,153.22999572753906,766.1499786376953,10.399978637695284,1.3761136139854824
