계좌,종목명,보유수량,매입가(원),어제종가(원),평가금액(원),수익(원),수익률(%)
4715,미국 반도체 3배 디렉시온 ETF,71,178.7442,279.2900085449219,19829.590606689453,7138.752406689453,56.2512285964646
9999,알파벳 A,59,335.3411,368.0299987792969,21713.769927978516,1928.6450279785167,9.747954777776089
4715,아이온큐,90,36.0636,56.54999923706055,5089.499931335449,1843.775931335449,56.80630673881849
5477,마이크론 테크놀로지,13,1011.0,1133.989990234375,14741.869873046875,1598.869873046875,12.165182021204252
9999,마이크론 테크놀로지,10,1010.0,1133.989990234375,11339.89990234375,1239.89990234375,12.276236656868813
9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,82.87000274658203,1657.4000549316406,1220.5000549316405,279.3545559468164
6589,알파벳 A,5,310.18,368.0299987792969,1840.1499938964844,289.24999389648434,18.650460629085327
4715,미국 배당주 슈왑 ETF,30,24.0333,31.860000610351562,955.8000183105469,234.80101831054685,32.56606712499558
4715,블룸 에너지,1,134.3,328.9100036621094,328.9100036621094,194.61000366210936,144.90692752204717
9999,나스닥 100 인베스코 ETF,3,253.15,304.5199890136719,913.5599670410156,154.1099670410156,20.292312468367317
4715,프리미엄 고배당 JP모건 ETF,14,54.9878,56.099998474121094,785.3999786376953,15.570778637695312,2.022627699455322
4715,브로드컴,1,400.31,411.3500061035156,411.3500061035156,11.040006103515623,2.7578641811385234
5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,3.5899999141693115,64.61999845504761,-36.72000154495239,-36.23445978384881
6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,3.5899999141693115,229.75999450683594,-130.56000549316406,-36.23445978384881
6589,AST 스페이스모바일,4,120.1725,80.66000366210938,322.6400146484375,-158.0499853515625,-32.8798155467271
4715,엔비디아,59,214.6191,210.69000244140625,12430.710144042969,-231.81675595703143,-1.8307306099940561
5477,메타 플랫폼스(페이스북),5,667.32,577.219970703125,2886.099853515625,-450.50014648437525,-13.501772657327077
4715,미국 반도체 인버스 3배 디렉시온 ETF,605,11.5058,3.5899999141693115,2171.9499480724335,-4789.0590519275665,-68.79834592840731
